iter	RMSE
0	12188.70448
1	11900.61932
2	11618.6656
3	11358.56282
4	11138.13154
5	10895.56181
6	10653.51348
7	10424.76361
8	10193.41239
9	9967.018165
10	9750.035354
11	9551.877431
12	9347.304305
13	9164.645152
14	8978.863787
15	8822.692381
16	8647.988508
17	8473.845253
18	8321.238957
19	8173.708251
20	8018.026958
21	7871.201155
22	7733.736835
23	7594.769217
24	7477.133687
25	7343.515278
26	7226.915104
27	7113.42565
28	7001.011557
29	6896.824827
30	6784.844579
31	6676.791396
32	6574.638941
33	6479.910183
34	6376.613727
35	6282.537781
36	6194.242299
37	6124.116497
38	6036.87481
39	5958.388066
40	5878.760686
41	5804.737724
42	5738.718867
43	5669.225715
44	5604.054795
45	5547.132453
46	5485.971175
47	5425.897251
48	5368.064124
49	5313.247249
50	5270.047142
51	5226.077286
52	5176.690995
53	5129.769124
54	5087.466626
55	5046.948134
56	5008.99394
57	4966.863421
58	4926.758329
59	4895.091043
60	4861.431634
61	4825.633784
62	4789.918971
63	4758.60739
64	4731.07952
65	4698.044119
66	4668.58183
67	4644.164242
68	4617.57451
69	4589.808954
70	4570.026272
71	4546.562678
72	4533.226324
73	4509.515598
74	4491.630671
75	4470.39621
76	4453.056701
77	4433.530001
78	4411.545956
79	4392.312877
80	4373.291768
81	4354.545739
82	4339.902566
83	4326.016929
84	4307.482487
85	4294.773699
86	4278.010121
87	4265.17396
88	4252.777638
89	4240.388079
90	4235.470471
91	4224.369976
92	4212.662257
93	4202.30288
94	4191.044342
95	4179.290499
96	4166.580651
97	4157.480495
98	4143.469971
99	4135.845913
100	4124.264516
101	4113.696718
102	4107.948205
103	4097.769265
104	4093.894338
105	4085.041957
106	4076.293724
107	4072.034479
108	4061.535739
109	4051.827902
110	4048.402621
111	4041.978249
112	4035.62676
113	4029.208759
114	4022.740404
115	4015.39831
116	4010.060416
117	4002.4035
118	3997.104037
119	3991.992163
120	3987.06894
121	3982.349146
122	3977.737714
123	3972.82972
124	3965.851643
125	3959.701552
126	3955.525646
127	3950.387273
128	3943.990245
129	3941.161883
130	3937.857154
131	3928.941681
132	3925.437868
133	3918.977772
134	3913.521641
135	3910.587725
136	3908.113814
137	3903.505293
138	3895.718601
139	3892.774576
140	3888.094711
141	3885.416988
142	3883.050527
143	3876.343928
144	3871.241097
145	3869.857357
146	3867.490916
147	3863.323741
148	3859.576631
149	3856.279508
150	3851.752585
151	3849.16514
152	3845.914982
153	3840.78925
154	3837.910408
155	3834.730174
156	3830.962104
157	3827.644287
158	3824.912549
159	3821.954596
160	3816.033366
161	3813.197955
162	3811.093219
163	3804.215473
164	3800.841703
165	3798.288289
166	3793.966402
167	3788.81643
168	3785.440772
169	3784.318439
170	3783.288399
171	3778.854208
172	3776.204348
173	3771.936145
174	3768.152466
175	3765.737661
176	3761.867063
177	3756.756598
178	3753.80557
179	3750.389866
180	3748.013549
181	3744.437406
182	3739.917265
183	3738.519423
184	3735.261044
185	3730.87443
186	3725.941613
187	3721.285116
188	3717.936801
189	3714.303597
190	3710.755355
191	3709.174315
192	3706.407111
193	3703.406834
194	3700.618131
195	3696.799089
196	3693.902766
197	3687.501539
198	3683.56723
199	3681.446995
200	3677.293433
201	3674.550468
202	3669.608927
203	3664.16766
204	3662.722564
205	3662.40932
206	3659.239347
207	3655.599401
208	3651.794701
209	3650.162772
210	3649.224082
211	3646.645402
212	3644.985543
213	3642.07613
214	3638.20759
215	3636.04925
216	3631.577466
217	3627.853231
218	3625.019047
219	3622.595398
220	3619.504037
221	3616.723178
222	3613.802603
223	3608.406135
224	3603.978994
225	3600.291664
226	3596.220256
227	3592.61225
228	3589.966818
229	3587.687214
230	3584.127328
231	3580.182979
232	3576.47319
233	3573.292906
234	3569.186505
235	3565.071285
236	3563.431193
237	3561.56064
238	3557.518619
239	3555.129087
240	3552.217224
241	3548.127308
242	3544.147728
243	3541.214824
244	3538.915712
245	3537.203081
246	3535.211052
247	3532.531247
248	3529.400665
249	3526.342593
250	3524.829477
251	3521.198018
252	3518.8098
253	3516.094011
254	3513.607502
255	3512.60316
256	3511.45529
257	3509.182196
258	3505.945957
259	3504.268883
260	3501.194927
261	3495.686707
262	3492.849823
263	3489.602889
264	3487.717616
265	3486.102155
266	3483.181683
267	3481.106932
268	3477.070537
269	3474.43202
270	3469.632941
271	3466.193566
272	3463.257374
273	3460.436974
274	3456.120933
275	3453.585058
276	3450.71739
277	3447.661067
278	3445.482971
279	3443.526345
280	3441.116918
281	3438.606803
282	3436.024677
283	3433.059167
284	3428.481957
285	3425.824089
286	3422.997578
287	3417.995419
288	3413.851721
289	3411.989122
290	3409.370928
291	3404.572144
292	3399.643364
293	3398.124939
294	3395.060256
295	3392.546406
296	3388.024472
297	3386.245677
298	3383.377318
299	3378.39232
300	3375.251542
301	3371.040688
302	3369.16611
303	3366.446673
304	3363.127094
305	3360.874344
306	3356.325841
307	3351.65367
308	3348.872902
309	3347.185663
310	3343.511991
311	3340.793566
312	3338.276887
313	3335.638824
314	3333.79007
315	3331.45257
316	3328.34743
317	3326.166767
318	3323.444537
319	3320.228831
320	3316.630456
321	3314.685205
322	3312.903371
323	3311.316644
324	3307.027993
325	3305.169297
326	3303.494995
327	3298.666195
328	3296.817451
329	3291.530079
330	3289.388859
331	3287.617194
332	3286.292586
333	3284.250156
334	3279.731294
335	3275.554992
336	3270.798207
337	3268.179428
338	3266.581664
