iter	Passed	Remaining
0	4	4088
1	8	4073
2	11	3893
3	15	3820
4	18	3717
5	22	3713
6	26	3698
7	29	3656
8	33	3634
9	36	3614
10	43	3908
11	57	4734
12	70	5350
13	84	5917
14	98	6472
15	112	6890
16	126	7297
17	140	7638
18	153	7944
19	162	7978
20	176	8236
21	191	8525
22	206	8760
23	219	8909
24	233	9099
25	247	9275
26	261	9420
27	275	9566
28	288	9664
29	302	9782
30	317	9923
31	332	10047
32	346	10146
33	359	10213
34	373	10290
35	387	10363
36	400	10425
37	415	10512
38	428	10554
39	442	10629
40	456	10675
41	470	10722
42	483	10763
43	496	10788
44	510	10836
45	524	10876
46	538	10916
47	552	10958
48	566	10989
49	579	11017
50	593	11047
51	606	11062
52	619	11073
53	633	11103
54	647	11117
55	660	11135
56	674	11157
57	689	11196
58	704	11239
59	718	11259
60	732	11278
61	746	11293
62	759	11301
63	773	11311
64	787	11321
65	800	11329
66	813	11332
67	827	11338
68	845	11405
69	859	11423
70	873	11435
71	887	11442
72	901	11449
73	914	11447
74	928	11456
75	942	11455
76	955	11455
77	970	11474
78	983	11471
79	997	11473
80	1011	11479
81	1025	11477
82	1039	11481
83	1052	11478
84	1066	11477
85	1080	11481
86	1093	11476
87	1107	11472
88	1121	11479
89	1134	11472
90	1147	11464
91	1161	11460
92	1175	11462
93	1189	11461
94	1202	11454
95	1215	11449
96	1229	11449
97	1243	11446
98	1256	11439
99	1270	11434
100	1283	11428
101	1298	11431
102	1311	11423
103	1325	11418
104	1339	11413
105	1352	11404
106	1365	11398
107	1379	11393
108	1392	11386
109	1406	11383
110	1421	11381
111	1434	11371
112	1448	11368
113	1461	11360
114	1474	11346
115	1488	11340
116	1501	11334
117	1515	11326
118	1528	11316
119	1542	11309
120	1555	11302
121	1569	11295
122	1582	11285
123	1596	11281
124	1610	11274
125	1623	11262
126	1637	11255
127	1650	11243
128	1667	11257
129	1682	11257
130	1696	11254
131	1709	11244
132	1724	11238
133	1737	11225
